英文,中文
compose,作曲
maintain,維持
occupy,佔用
protective,保護的
informal,非正式的
ignorant,無知的
attentive,細心的
content,使滿意
haunt,縈繞不去
recognize,認出
evaluate,評估
imaginative,富有想像力的
realistic,務實的、現實的
courageous,勇敢的
suspicious,可疑的
universally,普及地
rarely,鮮少地
nearly,幾乎
ideally,理想地
appeal,吸引、上訴
supply,提供
restrict,限制
impression,印象
irritation,刺激
formation,形成
hesitation,猶豫
exception,例外
presence,存在
appliance,用品、用具
tension,緊張
vivid,鮮明的、生動的
available,可取得的、可買到的
defensive,防守的
diverse,多元的
promotion,升遷、推廣
intention,意圖
reservation,預約
confirmation,確認
access,取得、進入
refer,參考、轉介
violate,違反
calculate,計算
estimate,估計
investigation,調查
stiff,僵硬的、疼痛的
habitual,習慣性的
drowsy,昏昏欲睡的
manual,手冊、手動的
modesty,謙虛
diversity,多樣性
authority,當權、權力
equality,平等
dodge,閃避
shift,轉移
clarify,澄清
furnish,佈置家具
fragile,脆弱的、易受傷的
partial,部份的、偏袒的
continual,持續的
diligent,勤奮的
profession,職業、專業
resolution,解決、決心
foundation,基金會、基礎
disapprove,不同意、不贊成
justify,使合理化
snatch,奪走、搶走
motivate,激發、激勵
prone,有...傾向的
intense,強烈的
viable,可行的
adverse,負面的
hastily,匆忙地
leisurely,悠閒地
precisely,精準地
gloriously,光榮地
sponsorship,贊助
fragment,碎片
temptation,誘惑
courtesy,禮貌、客氣
grasp,握緊、理解
observe,觀察
flush,沖水、沖洗、臉紅
acquire,獲得
loyal,忠心的
respectable,值得尊敬的
digital,數位的
memorable,值得懷念的、難忘的
melody,旋律
remedy,療法、修正、改善
bargain,划算品、議價
slogan,標語、口號
gigantic,防禦的
vigorous,巨大的
tremble,顫抖
giggle,咯咯地笑
interact,互動
emerge,浮現、露出
resource,資料、資源
vacancy,空位、空缺
depression,蕭條、低落、沮喪
prosperity,興盛
alternative,替代的（方案）、選擇
elaborate,精心設計的、詳盡的、詳述
worthwhile,值得的
controversial,爭議性的
penetrate,貫穿、穿過
contemplate,考慮、打算
overtake,超越
acknowledge,承認、認可
extensively,廣泛地
anonymously,匿名地
occasionally,偶爾
undoubtedly,無疑地
veteran,榮民、老兵
patron,顧客
banner,標語
faculty,全體教師
